title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Rethinking Islam and Modernity: Essays in Honour of Fathi Osman,Rethinking Islam and Modernity: Essays in Honour of Fathi Osman,,Books->History,10,11.95,11.95,11.95,0.46,,,,9.78086E+12,9780860373803.jpg,Paperback|Abdelwahab El Affendi|2001|216|The Islamic Foundation,non-taxable,zero-rate
The Way of the Prophet: A Selection of Hadith,"The Way of the Prophet is a translation of a selection of 393 traditions of the Prophet Muhammad and includes a commentary to elucidate their meanings. This comprehensive selection covers faith, worship, morality and character, ethics, society, law and politics in Islam. It was originally complied in the 1950s by Sheikh Abd al-Ghaffar Hasan of Delhi at the request of Sayyid Abul Ala Mawdudi and is mainly based on the Mishkat al-Masabih of al-Khatib al-Tabrizi and the Adab al-Mufrad of Imam Bukhari. The original Arabic text of the traditions accompanies the translation along with a first-line index of Prophetic traditions for easy reference. This work provides a comprehensive and concise introduction to the teachings of the Prophet.",,Books->Children->Prayers & Supplication,10,4.5,4.5,4.5,0.32,,,,9.78086E+12,9780860374572.jpg,Paperback|Abdul Ghaffar Hasan|2009|256|The Islamic Foundation,non-taxable,zero-rate
Ummah or Nation? Identity Crisis in Contemporary Muslim Society,"Surveys the literature on the development of nationalism in Muslim countries. Also examines the status of the Ummah and nation-states; identities in contemporary Muslim nation-states, and studies contemporary activities of Muslim nations through the OIC.",,Books->Children->Fiction - Read Aloud,10,1.95,1.95,1.95,0.06,,,,9.78086E+12,9780860372202.jpg,Paperback|Abdullah al-Ahsan|1992|168|The Islamic Foundation,non-taxable,zero-rate
Daily Wisdom: Sayings of the Prophet Muhammad ,"This beautiful presentation of the Prophet Muhammads teachings engages the reader in a moment daily reflection. With 365 traditions covering a whole year, this is a must for every home. ""An essential companion to the second book ""Daily Wisdom: Selections from the Holy Quran"".",,Books->The Quran,10,22.95,22.95,22.95,0.39,,,,9.78185E+12,9781847740182.jpg,Hardback|Abdur Raheem Kidwai|2010|400|Kube Publishing ,non-taxable,zero-rate
Daily Wisdom: Selections from the Holy Qur'an ,"This beautiful presentation of the Holy Quran engages the reader in a moment daily reflection. With 365 verses covering the whole year, this is a must for every home. An essential companion to the first book ""Daily Wisdom: Sayings of the Prophet Muhammad"".",,Books->Children->Information Books,10,4.95,4.95,4.95,0.5,,,,9.78185E+12,9781847740328.jpg,Hardback|Abdur Raheem Kidwai|2011|391|The Islamic Foundation,non-taxable,zero-rate
The Quran Essential Teachings,"Understand major Quranic terms, concepts and themes. Gain a clear idea of the Quranic worldview, particularly the articles of faith, God-man relationship, religious duties and the Islamic value system. ",,Books->Children->The Prophet's Biography,10,3.95,3.95,3.95,0.27,,,,9.78086E+12,9780860374107.jpg,Paperback|Abdur Raheem Kidwai|2005|192|The Islamic Foundation,non-taxable,zero-rate
Key To Al Fatiha: Understanding the Basic Concepts, Key To Al Fatiha,,Books->History,10,18.99,18.99,18.99,1.2,,,,9.78086E+12,9780860373612.jpg,Paperback|Abdur Rashid Siddiqui|2001|64|The Islamic Foundation,non-taxable,zero-rate
Key To Al Imran: Resurgence of the Ummah,"Based on valuable material from authentic tafasir in Arabic and Urdu, the book provides a thematic study of Surah Al-Imran. A commendable work, meeting the mindset and intellectual needs of the English-speaking young generation of Muslims in the West.",,Books->Children->Poetry & Anthologies,10,9.99,9.99,9.99,0.55,,,,9.78086E+12,9780860373865.jpg,Paperback|Abdur Rashid Siddiqui|2002|52|The Islamic Foundation,non-taxable,zero-rate
Lift Up Your Hearts: A Collection of 25 Khutbah for Prayer (Vol.2),"This volume covers many moral and social issues from an islamic perspective as well as some of the problems faced by the Muslim community in the west. Topics discussed include: Justice, Death and Disaster, Sports and leisure, Care for the environment and homesexuality. ",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860374305.jpg,Paperback|Abdur Rashid Siddiqui|2005|160|The Islamic Foundation,non-taxable,zero-rate
Lift Up Your Hearts: A Collection of 30 Khutbah for Friday Prayer Vol 1,"Based on the author's khutbahs delivered at Friday congregations at the Islamic Society, University of Leicester. Covers themes like: Ilm (Knowledge), Islam, >Iman (Faith), Akhirah (the Hereafter), Sacrifice, Dawah and many more. A practical guide for Islamic Societies. ",,Books->General,10,9.95,9.95,9.95,0.32,,,,9.78086E+12,9780860373568.jpg,Paperback|Abdur Rashid Siddiqui|2001|288|The Islamic Foundation,non-taxable,zero-rate
